TIME;Cours_action_ZE;Inflation_ZE;TX_LT;Var_CAC40;Var_FTSE100;Var_DAX;Var_EUST50;TX_change_ZE;PIB_ZE;PIB_G7;FBCF_EU;FIDLEUI LX Equity
2007-02;115,1754;1,9;4,1175;-1,64%;-0,51%;-1,09%;-2,19%;0,730638;0,611684;0,384262;1,496349;12,21
2007-03;111,5946;2;4,0227;2,14%;2,21%;3,00%;2,30%;0,730638;0,611684;0,384262;1,496349;12,58
2007-04;118,3783;1,9;4,2459;5,78%;2,24%;7,11%;5,05%;0,730638;0,700394;0,539668;1,056866;13,04
2007-05;121,1871;1,9;4,3731;2,42%;2,67%;6,40%;2,74%;0,730638;0,700394;0,539668;1,056866;13,55
2007-06;121,6621;1,9;4,6608;-0,80%;-0,20%;1,58%;-0,51%;0,730638;0,700394;0,539668;1,056866;13,54
2007-07;121,0841;1,8;4,6284;-5,02%;-3,75%;-5,28%;-3,88%;0,730638;0,43551;0,356263;0,390747;13,12
2007-08;114,0772;1,8;4,4263;-1,54%;-0,89%;0,71%;-0,49%;0,730638;0,43551;0,356263;0,390747;12,84
2007-09;115,4682;2,2;4,3694;0,94%;2,59%;2,92%;2,03%;0,730638;0,43551;0,356263;0,390747;13,25
2007-10;119,884;2,6;4,4002;2,31%;3,94%;2,01%;2,47%;0,730638;0,567812;0,467673;2,318003;13,59
2007-11;115,4766;3,1;4,2515;-3,03%;-4,30%;-1,85%;-2,11%;0,730638;0,567812;0,467673;2,318003;12,9
2007-12;116,3499;3,1;4,3818;-1,00%;0,38%;2,50%;0,11%;0,730638;0,567812;0,467673;2,318003;12,91
2008-01;106,7133;3,3;4,2317;-13,26%;-8,94%;-15,07%;-13,79%;0,682675;0,444838;-0,019322;-0,630692;11,23
2008-02;101,2172;3,3;4,1394;-1,62%;0,08%;-1,51%;-1,80%;0,682675;0,444838;-0,019322;-0,630692;11,29
2008-03;96,25256;3,7;4,0705;-1,74%;-3,10%;-3,16%;-2,59%;0,682675;0,444838;-0,019322;-0,630692;10,65
2008-04;100,9419;3,3;4,2827;6,15%;6,76%;6,33%;5,43%;0,682675;-0,348693;0,038991;-1,309772;11,34
2008-05;103,0565;3,7;4,4233;0,36%;-0,56%;2,13%;-1,23%;0,682675;-0,348693;0,038991;-1,309772;11,68
2008-06;95,49464;4;4,8093;-11,56%;-7,06%;-9,56%;-11,25%;0,682675;-0,348693;0,038991;-1,309772;10,78
2008-07;87,54796;4,1;4,8145;-0,96%;-3,80%;0,95%;0,45%;0,682675;-0,539998;-0,699216;-2,166659;10,27
2008-08;88,7233;3,9;4,496;2,05%;4,15%;-0,88%;-0,07%;0,682675;-0,539998;-0,699216;-2,166659;10,32
2008-09;84,58195;3,7;4,5043;-10,05%;-13,02%;-9,21%;-9,73%;0,682675;-0,539998;-0,699216;-2,166659;9,135
2008-10;67,80434;3,2;4,4158;-13,52%;-10,71%;-14,46%;-14,69%;0,682675;-1,705075;-2,057849;-3,198283;7,943
2008-11;63,16923;2,2;4,1964;-6,43%;-2,04%;-6,39%;-6,23%;0,682675;-1,705075;-2,057849;-3,198283;7,325
2008-12;61,4785;1,7;3,8881;-1,37%;3,41%;3,01%;0,71%;0,682675;-1,705075;-2,057849;-3,198283;7,004
2009-01;60,49207;1,2;4,0995;-7,58%;-6,42%;-9,81%;-8,61%;0,719843;-3,157149;-2,279426;-6,041325;6,961
2009-02;56,24406;1,2;4,1962;-9,13%;-7,70%;-11,40%;-11,66%;0,719843;-3,157149;-2,279426;-6,041325;6,361
2009-03;51,82874;0,6;4,142;3,88%;2,51%;6,27%;4,80%;0,719843;-3,157149;-2,279426;-6,041325;6,416
2009-04;58,75082;0,6;4,0897;12,56%;8,09%;16,76%;14,69%;0,719843;-0,031738;0,144995;-2,60679;7,245
2009-05;63,36657;0,1;4,1323;3,73%;4,11%;3,59%;3,20%;0,719843;-0,031738;0,144995;-2,60679;7,548
2009-06;63,63773;-0,1;4,3255;-4,19%;-3,82%;-2,68%;-2,02%;0,719843;-0,031738;0,144995;-2,60679;7,407
2009-07;64,00575;-0,6;4,0897;9,10%;8,45%;10,89%;9,84%;0,719843;0,371293;0,315897;-0,492228;8,022
2009-08;70,37932;-0,1;3,8915;6,63%;6,52%;2,48%;5,19%;0,719843;0,371293;0,315897;-0,492228;8,186
2009-09;74,09707;-0,3;3,8672;3,88%;4,58%;3,85%;3,51%;0,719843;0,371293;0,315897;-0,492228;8,557
2009-10;75,43439;-0,1;3,8036;-4,95%;-1,74%;-4,58%;-4,50%;0,719843;0,511483;0,965575;0,050856;8,234
2009-11;74,51028;0,5;3,8364;2,01%;2,90%;3,90%;1,96%;0,719843;0,511483;0,965575;0,050856;8,42
2009-12;75,85517;0,9;3,8727;6,96%;4,28%;5,89%;6,00%;0,719843;0,511483;0,965575;0,050856;8,879
2010-01;76,79612;0,9;4,102;-5,00%;-4,14%;-5,85%;-6,35%;0,755045;0,367892;0,542267;-0,090585;8,653
2010-02;72,15005;0,8;4,1074;-0,82%;3,20%;-0,18%;-1,74%;0,755045;0,367892;0,542267;-0,090585;8,641
2010-03;76,53534;1,6;3,986;7,15%;6,07%;9,92%;7,43%;0,755045;0,367892;0,542267;-0,090585;9,49
2010-04;78,28024;1,6;4,1563;-3,95%;-2,22%;-0,29%;-3,90%;0,755045;0,991598;1,06119;1,986181;9,519
2010-05;70,93457;1,7;3,6784;-8,11%;-6,57%;-2,79%;-7,33%;0,755045;0,991598;1,06119;1,986181;8,992
2010-06;71,07352;1,5;3,6868;-1,84%;-5,23%;0,02%;-1,42%;0,755045;0,991598;1,06119;1,986181;8,834
2010-07;71,61446;1,7;3,6097;5,82%;6,94%;3,06%;6,56%;0,755045;0,441496;0,873423;1,358247;9,239
2010-08;72,66797;1,6;3,4364;-4,18%;-0,62%;-3,62%;-4,35%;0,755045;0,441496;0,873423;1,358247;8,928
2010-09;74,28543;1,9;3,4921;6,43%;6,19%;5,13%;4,76%;0,755045;0,441496;0,873423;1,358247;9,372
2010-10;76,16564;1,9;3,3282;3,18%;2,28%;5,98%;3,53%;0,755045;0,61837;0,358776;0,790584;9,644
2010-11;76,41828;1,9;3,7165;-5,82%;-2,59%;1,32%;-6,82%;0,755045;0,61837;0,358776;0,790584;9,755
2010-12;77,61973;2,2;4,0714;5,38%;6,72%;3,37%;5,35%;0,755045;0,61837;0,358776;0,790584;10,27
2011-01;79,38821;2,3;3,939;5,28%;-0,63%;2,36%;5,76%;0,719355;0,843268;0,055618;1,142473;10,12
2011-02;82,046;2,4;4,4733;2,62%;2,24%;2,75%;2,01%;0,719355;0,843268;0,055618;1,142473;10,49
2011-03;79,14007;2,7;4,4875;-2,95%;-1,42%;-3,18%;-3,39%;0,719355;0,843268;0,055618;1,142473;10,09
2011-04;80,68848;2,8;4,6574;2,95%;2,73%;6,72%;3,45%;0,719355;0,006268;0,294215;0,766872;10,34
2011-05;79,72647;2,7;4,3656;-2,43%;-1,32%;-2,94%;-4,96%;0,719355;0,006268;0,294215;0,766872;10,17
2011-06;76,60327;2,7;4,3748;-0,62%;-0,74%;1,13%;-0,47%;0,719355;0,006268;0,294215;0,766872;9,99
2011-07;75,91946;2,6;4,5978;-7,81%;-2,20%;-2,95%;-6,25%;0,719355;0,092242;0,507213;0,338887;9,84
2011-08;63,68574;2,6;4,2027;-11,29%;-7,23%;-19,19%;-13,79%;0,719355;0,092242;0,507213;0,338887;8,56
2011-09;59,6679;3;4,0351;-8,44%;-4,93%;-4,89%;-5,32%;0,719355;0,092242;0,507213;0,338887;8,05
